iter	Passed	Remaining
490	1377	1428
491	1380	1425
492	1383	1422
493	1386	1420
494	1389	1418
495	1393	1415
496	1396	1413
497	1398	1410
498	1401	1407
499	1404	1404
500	1407	1401
501	1410	1399
502	1413	1396
503	1417	1395
504	1420	1392
505	1423	1389
506	1426	1386
507	1429	1384
508	1431	1381
509	1435	1379
510	1438	1376
511	1440	1373
512	1444	1371
513	1447	1368
514	1450	1365
515	1453	1363
516	1456	1360
517	1459	1358
518	1462	1355
519	1465	1352
520	1468	1350
521	1471	1347
522	1474	1344
523	1477	1342
524	1480	1339
525	1483	1336
526	1486	1333
527	1489	1331
528	1492	1328
529	1495	1326
530	1498	1323
531	1502	1321
532	1506	1319
533	1509	1317
534	1512	1314
535	1515	1311
536	1518	1309
537	1521	1306
538	1523	1303
539	1528	1301
540	1531	1298
541	1534	1296
542	1537	1293
543	1540	1291
544	1543	1288
545	1546	1286
546	1549	1283
547	1552	1280
548	1555	1277
549	1558	1275
550	1561	1272
551	1565	1270
552	1568	1267
553	1570	1264
554	1573	1261
555	1576	1259
556	1579	1256
557	1582	1253
558	1585	1250
559	1588	1248
560	1591	1245
561	1595	1243
562	1598	1240
563	1602	1238
564	1604	1235
565	1608	1233
566	1611	1230
567	1614	1227
568	1616	1224
569	1619	1221
570	1622	1218
571	1625	1216
572	1628	1213
573	1631	1210
574	1634	1207
575	1637	1205
576	1640	1202
577	1643	1199
578	1646	1197
579	1649	1194
580	1651	1191
581	1654	1188
582	1658	1186
583	1661	1183
584	1664	1180
585	1667	1178
586	1670	1175
587	1673	1172
588	1676	1169
589	1679	1166
590	1682	1164
591	1685	1161
592	1687	1158
593	1690	1155
594	1694	1153
595	1697	1150
596	1701	1148
597	1704	1145
598	1707	1142
599	1710	1140
600	1712	1137
601	1715	1134
602	1718	1131
603	1722	1129
604	1725	1126
605	1728	1123
606	1732	1121
607	1735	1118
608	1738	1115
609	1741	1113
610	1744	1110
611	1747	1108
612	1750	1105
613	1753	1102
614	1756	1099
615	1759	1096
616	1762	1093
617	1764	1090
618	1768	1088
619	1770	1085
620	1774	1082
621	1776	1079
622	1779	1076
623	1782	1074
624	1785	1071
625	1788	1068
626	1790	1065
627	1793	1062
628	1796	1059
629	1799	1056
630	1802	1054
631	1804	1050
632	1808	1048
633	1811	1045
634	1814	1043
635	1817	1040
636	1820	1037
637	1823	1034
638	1826	1031
639	1828	1028
640	1832	1026
641	1835	1023
642	1838	1020
643	1841	1018
644	1845	1015
645	1847	1012
646	1850	1009
647	1853	1006
648	1856	1003
649	1860	1001
650	1863	999
651	1866	996
652	1869	993
653	1872	990
654	1875	988
655	1878	985
656	1881	982
657	1885	979
658	1887	976
659	1891	974
660	1894	971
661	1897	969
662	1900	966
663	1903	963
664	1907	960
665	1910	958
666	1914	955
667	1917	953
668	1920	950
669	1923	947
670	1926	944
671	1930	942
672	1933	939
673	1935	936
674	1938	933
675	1942	930
676	1945	928
677	1948	925
678	1951	922
679	1954	919
680	1957	916
681	1960	914
682	1963	911
683	1966	908
684	1969	905
685	1971	902
686	1975	899
687	1977	896
688	1980	894
689	1984	891
690	1986	888
691	1989	885
692	1992	882
693	1995	879
694	1999	877
695	2002	874
696	2004	871
697	2007	868
698	2010	865
699	2013	863
700	2016	860
701	2018	856
702	2021	854
703	2024	851
704	2027	848
705	2030	845
706	2033	842
707	2036	839
708	2039	837
709	2042	834
710	2045	831
711	2048	828
712	2051	825
713	2053	822
714	2056	819
715	2059	816
716	2063	814
717	2066	811
718	2069	808
719	2072	805
720	2075	803
721	2078	800
722	2080	797
723	2083	794
724	2086	791
725	2088	788
726	2092	785
727	2095	782
728	2098	780
729	2100	777
730	2103	774
731	2106	771
732	2109	768
733	2113	765
734	2116	763
735	2119	760
736	2121	757
737	2124	754
738	2127	751
739	2130	748
740	2132	745
741	2135	742
742	2138	739
743	2140	736
744	2143	733
745	2146	730
746	2148	727
747	2151	724
748	2154	721
749	2156	718
750	2159	715
751	2162	713
752	2164	710
753	2167	707
754	2170	704
755	2173	701
756	2175	698
757	2179	695
758	2181	692
759	2184	689
760	2187	686
761	2190	684
762	2192	681
763	2196	678
764	2199	675
765	2202	672
766	2205	670
767	2208	667
768	2212	664
769	2215	661
770	2217	658
771	2220	655
772	2223	652
773	2225	649
774	2227	646
775	2230	643
776	2232	640
777	2236	638
778	2239	635
779	2242	632
780	2246	629
781	2248	626
782	2251	624
783	2254	621
784	2257	618
785	2260	615
786	2263	612
787	2266	609
788	2269	606
789	2272	604
790	2275	601
791	2278	598
792	2281	595
793	2284	592
794	2287	589
795	2290	586
796	2293	584
797	2296	581
798	2299	578
799	2302	575
800	2304	572
801	2307	569
802	2311	567
803	2314	564
804	2317	561
805	2320	558
806	2323	555
807	2327	553
808	2330	550
809	2332	547
810	2335	544
811	2339	541
812	2342	538
813	2345	535
814	2348	533
815	2351	530
816	2354	527
817	2357	524
818	2360	521
819	2364	518
820	2367	516
821	2371	513
822	2373	510
823	2377	507
824	2380	505
825	2383	502
826	2386	499
827	2389	496
828	2392	493
829	2395	490
830	2398	487
831	2401	484
832	2404	481
833	2406	479
834	2411	476
835	2414	473
836	2418	470
837	2421	468
838	2424	465
839	2426	462
840	2429	459
841	2432	456
842	2434	453
843	2438	450
844	2440	447
845	2445	445
846	2447	442
847	2450	439
848	2453	436
849	2456	433
850	2459	430
851	2462	427
852	2465	424
853	2467	421
854	2470	419
855	2473	416
856	2476	413
857	2479	410
858	2482	407
859	2484	404
860	2488	401
861	2490	398
862	2493	395
863	2497	393
864	2500	390
865	2502	387
866	2505	384
867	2509	381
868	2513	378
869	2516	375
870	2518	373
871	2522	370
872	2525	367
873	2528	364
874	2531	361
875	2534	358
876	2537	355
877	2540	352
878	2544	350
879	2546	347
880	2549	344
881	2551	341
882	2555	338
883	2560	335
884	2562	333
885	2565	330
886	2568	327
887	2570	324
888	2573	321
889	2576	318
890	2578	315
891	2580	312
892	2583	309
893	2586	306
894	2589	303
895	2591	300
896	2594	297
897	2597	295
898	2600	292
899	2603	289
900	2605	286
901	2610	283
902	2613	280
903	2615	277
904	2618	274
905	2621	272
906	2624	269
907	2627	266
908	2630	263
909	2633	260
910	2636	257
911	2639	254
912	2642	251
913	2645	248
914	2647	245
915	2650	243
916	2654	240
917	2657	237
918	2660	234
919	2663	231
920	2666	228
921	2669	225
922	2671	222
923	2675	220
924	2678	217
925	2681	214
926	2684	211
927	2687	208
928	2691	205
929	2694	202
930	2697	199
931	2700	197
932	2703	194
933	2705	191
934	2709	188
935	2712	185
936	2715	182
937	2718	179
938	2721	176
939	2724	173
940	2727	171
941	2729	168
942	2732	165
943	2737	162
944	2740	159
945	2743	156
946	2746	153
947	2749	150
948	2752	147
949	2755	145
950	2758	142
951	2762	139
952	2764	136
953	2767	133
954	2769	130
955	2772	127
956	2775	124
957	2778	121
958	2781	118
959	2784	116
960	2787	113
961	2790	110
962	2793	107
963	2796	104
964	2798	101
965	2802	98
966	2805	95
967	2808	92
968	2811	89
969	2814	87
970	2817	84
971	2820	81
972	2823	78
973	2826	75
974	2829	72
975	2832	69
976	2836	66
977	2839	63
978	2844	61
979	2846	58
980	2849	55
981	2852	52
982	2856	49
983	2859	46
984	2861	43
985	2864	40
986	2868	37
987	2872	34
988	2875	31
989	2879	29
990	2881	26
991	2884	23
992	2887	20
993	2890	17
994	2893	14
995	2896	11
996	2899	8
997	2902	5
998	2905	2
999	2908	0
